Title,Price,Currency,Condition,Seller Feedback %,Seller Feedback Score,Shipping Cost,Shipping Currency,Original Price,Discount Percentage,Discount Amount,Country,Shipping_Cost,Brand,Processor,RAM,Device Type
Dell Desktop i5 Computer Mini Pc Up To 32GB RAM 1TB SSD/HDD Windows 10 Pro Wi-Fi,862.6016,MAD,Refurbished,98.6,127179,28.07,MAD,1078.3296,20,215.728,Canada,217.82319999999999,Dell,i5,32GB,Desktop
Lenovo M920q M70q/M710q M720q Tiny Micro Mini PC i5 i7 1TB SSD Win 10 or 11 Pro,1466.5624,MAD,Refurbished,98.7,967,0.0,MAD,2095.1224,30,628.56,Canada,0.0,Lenovo,i5,Unknown,Desktop
"Dell Desktop Computer - Windows 11, MS Office 2021,  240GB SSD, Quad i5 4th",1078.6399999999999,MAD,Used,99.6,3795,0.0,MAD,1078.6399999999999,0,0.0,Canada,0.0,Dell,i5,Unknown,Desktop
HP Desktop Computer PC SFF Intel i5 Up To 32GB RAM 1TB SSD Windows 10 Pro Wi-Fi,827.3712,MAD,Refurbished,98.6,127179,28.78,MAD,1034.2528,20,206.8816,Canada,223.3328,Hp,i5,32GB,Desktop
"DELL Desktop Computer PC i7, up to 64GB RAM 17TB SSD/HDD, Windows 10/11, WiFi BT",1529.7287999999999,MAD,Refurbished,99.6,263,37.87,MAD,7284.3896,79,5754.660800000001,Canada,293.8712,Dell,i7,Unknown,Desktop
"DELL Desktop Computer PC i7, up to 64GB RAM, 17TB SSD HDD, Windows 10/11 , WiFi",1529.7287999999999,MAD,Refurbished,99.2,2206,36.46,MAD,7284.3896,79,5754.660800000001,Canada,282.9296,Dell,i7,Unknown,Desktop
"HP Desktop Computer PC i7 6TH,up to 64GB RAM,17TB SSD HDD,  Windows 10/11, WiFi",1529.7287999999999,MAD,Refurbished,99.2,2206,39.31,MAD,7648.643999999999,80,6118.9151999999995,Canada,305.04560000000004,Hp,i7,Unknown,Desktop
"HP Desktop Computer Intel i5 PC SFF 8GB RAM 500GB HD Wi-Fi, No O.S.",715.3168000000001,MAD,Refurbished,98.6,127179,38.65,MAD,715.3168000000001,0,0.0,Canada,299.924,Hp,i5,8GB,Desktop
HP ProDesk 400 G4 SFF Desktop Barebone✅No RAM CPU SSD ✅,274.5488,MAD,Used,99.5,8733,42.746583710407236,MAD,274.5488,0,0.0,Canada,331.71348959276014,Hp,Unknown,Unknown,Desktop
Custom Build ARGB Gaming Desktop Computer i7 PC 32GB RAM 1TB SSD NVIDIA GTX W11,2861.0344,MAD,Open Box,97.9,1109,63.75,MAD,2861.0344,0,0.0,Canada,494.7,Unknown,i7,32GB,Desktop
Dell Desktop Computer PC SFF Up To 16GB RAM 1TB HDD/SSD Windows 10 Pro Wi-Fi,1375.46,MAD,Refurbished,98.6,127179,37.23,MAD,1375.46,0,0.0,Canada,288.90479999999997,Dell,Unknown,16GB,Desktop
Dell Desktop Windows 11 Computer PC 16GB RAM 256GB SSD Intel Core i5 8th Gen.,1887.0768,MAD,Refurbished,98.6,127179,59.68,MAD,1887.0768,0,0.0,Canada,463.1168,Dell,i5,16GB,Desktop
HP Desktop i5 Computer Mini Pc Up To 16GB RAM 1TB HDD/SSD Windows 10 Pro Wi-Fi,1427.84,MAD,Refurbished,98.6,127179,41.78,MAD,1903.7608,25,475.9984,Canada,324.2128,Hp,i5,16GB,Desktop
"Lenovo ThinkCentre M70Q Tiny, upto 32GB RAM 2TB SSD, Core i5-10400T, WiFi,Win 11",3018.64,MAD,Used,97.8,130,0.0,MAD,3018.64,0,0.0,Canada,0.0,Lenovo,i5,32GB,Desktop
"HP Desktop Computer PC i5 8th Gen, up to 64GB RAM 4TB SSD, Windows 11/10 Pro",2622.0263999999997,MAD,Refurbished,100.0,14745,44.86,MAD,13110.2096,80,10488.1832,Canada,348.11359999999996,Hp,i5,Unknown,Desktop
HP Compaq Desktop Computer Intel Core i5 4GB Ram 500GB Windows XP,543.1999999999999,MAD,Used,100.0,116,40.0,MAD,543.1999999999999,0,0.0,Canada,310.4,Hp,i5,4GB,Desktop
"Dell OptiPlex 7040 Desktop i7-6700, upto 32GB RAM 512GB SSD, Windows 10 pro",1389.04,MAD,Used,97.8,130,0.0,MAD,1389.04,0,0.0,Canada,0.0,Dell,i7,32GB,Desktop
Tiny Mini Desktop PC SSD HP WiFi Core Windows 11 Pro 16GB 256GB HDMI Computer,1253.1624,MAD,Refurbished,98.6,9551,0.0,MAD,1319.1224,5,65.96,Canada,0.0,Hp,Unknown,16GB,Desktop
"Windows 11 PRO Laptop Notebook PC Computer, 8GB Ram, Webcam, Wifi, and HDMI",1089.504,MAD,Used,94.8,47559,30.9,MAD,1089.504,0,0.0,Canada,239.784,Unknown,Unknown,8GB,Laptop
HP Desktop i5 Computer PC SFF Up To 16GB RAM 1TB SSD Windows 10 Pro Wi-Fi,1029.9071999999999,MAD,Refurbished,98.6,127179,50.18,MAD,1287.384,20,257.5544,Canada,389.3968,Hp,i5,16GB,Desktop
Dell Desktop i7 Computer PC Tower Up To 32GB RAM 4TB SSD/HDD Windows 10 Pro WiFi,1629.9104,MAD,Refurbished,98.6,127179,58.6,MAD,2037.388,20,407.5552,Canada,454.736,Dell,i7,32GB,Desktop
Lenovo Windows 11 Desktop i5 Computer PC Tower Up To 32GB RAM 4TB HDD/SSD Wi-Fi,2486.9248000000002,MAD,Refurbished,98.6,127179,62.19,MAD,2486.9248000000002,0,0.0,Canada,482.59439999999995,Lenovo,i5,32GB,Desktop
Windows 11 Desktop Computer Tower PC - DVDRW 4GB Ram 500GB HDD School Work Ready,1100.4456,MAD,Used,94.8,47559,56.37,MAD,1100.4456,0,0.0,Canada,437.4312,Unknown,Unknown,4GB,Desktop
"HP Desktop Computer PC i7, up to 64GB RAM, 8TB SSD, Windows 11/10, WiFi",1490.696,MAD,Refurbished,99.6,263,35.24,MAD,7098.3823999999995,79,5607.6864,Canada,273.4624,Hp,i7,Unknown,Desktop
"HP Desktop Computer PC i7, up to 64GB RAM, 8TB SSD, Windows 11/10, i7/i5, WiFi",1309.6552000000001,MAD,Refurbished,99.6,263,42.746583710407236,MAD,6548.1208,80,5238.4655999999995,Canada,331.71348959276014,Hp,i7,Unknown,Desktop
FAST COMPUTER i5 4th QUAD Wi-Fi DESKTOP PC & TFT SET 16GB WINDOWS 10 SSD & HDD,1648.1499999999999,MAD,Refurbished,98.1,9378,0.0,MAD,1648.1499999999999,0,0.0,UK,0.0,Unknown,i5,16GB,Desktop
Windows 11 Pro - DELL -HP - CORE i7 2TB SSD 64GB RAM Desktop PC SFF WIFI,2077.3615,MAD,Refurbished,99.0,12165,0.0,MAD,10386.8075,80,8309.446,UK,0.0,Hp,i7,Unknown,Desktop
Intel i7 6th Gen Gaming PC - 32GB RAM / 1TB SSD / 1TB HDD / 8GB RTX 4060 Wins 10,3670.1115,MAD,Refurbished,99.3,26183,0.0,MAD,3670.1115,0,0.0,UK,0.0,Unknown,i7,32GB,Desktop
Windows 11 Pro HP DELL CORE i7-8TH GEN 2TB SSD 64GB RAM Desktop PC SFF WIFI,1661.8615,MAD,Refurbished,99.0,12165,0.0,MAD,8309.3075,80,6647.446,UK,0.0,Hp,i7,Unknown,Desktop
FAST PC DESKTOP Computer WINDOWS 11 PC i3 / i5 / i7 8GB/16GB RAM 120 SSD 500 HDD,1315.6115,MAD,Used,96.3,857,0.0,MAD,1315.6115,0,0.0,UK,0.0,Unknown,i3,8GB,Desktop
Core i7 Gaming PC - 32GB RAM / 1TB SSD / 480GB SSD / Nvidia RTX 3050 / Window 10,2492.8615,MAD,Refurbished,99.5,3406,0.0,MAD,2492.8615,0,0.0,UK,0.0,Unknown,i7,32GB,Desktop
Gaming Computer PC i7 8GB RAM 2TB HDD Windows 10 Nvidia GTX Graphics,2530.672,MAD,Used,100.0,116,0.0,MAD,2530.672,0,0.0,UK,0.0,Unknown,i7,8GB,Desktop
Cheap Fast Windows 10 Computer CORE i5 8GB RAM 256GB SSD DESKTOP TOWER,498.4615,MAD,Refurbished,95.7,31565,0.0,MAD,623.1115,20,124.64999999999999,UK,0.0,Unknown,i5,8GB,Desktop
Windows 11 Pro ✅​ DELL HP CORE i7 64GB RAM 2TB SSD Desktop Tower PC SFF Wi-Fi ✅​,1246.3615,MAD,Refurbished,97.9,728,0.0,MAD,1246.3615,0,0.0,UK,0.0,Hp,i7,Unknown,Desktop
FAST COMPUTER i5 4th QUAD DESKTOP TOWER PC & TFT SET 16GB WINDOWS 11 HDD & SSD,1101.2135,MAD,Refurbished,99.8,1330,0.0,MAD,1101.2135,0,0.0,UK,0.0,Unknown,i5,16GB,Desktop
Lenovo ThinkCentre M625Q USFF AMD E2-9000E 4GB RAM 32GB SSD No O/S BIOS TESTED,277.0,MAD,Used,99.6,9328,6.99,MAD,277.0,0,0.0,UK,96.8115,Lenovo,Unknown,4GB,Desktop
"AMD Desktop Computers – Motherboard, CPU, RAM, Power Supply and Case Bundle",355.668,MAD,Used,100.0,1163,10.0,MAD,355.668,0,0.0,UK,138.5,Unknown,Unknown,Unknown,Desktop
